# Sampled Cherenkov distribution and DOM wavelength acceptance
# wavelength (nm), Cherenkov light dN_dXdwlen, IceCube DOM wavelength acceptance
4.650000000000000000e+02,4.469184258943865742e-08,1.126109851466935707e-01
4.700000000000000000e+02,4.372105906015123129e-08,1.087219726547402759e-01
4.750000000000000000e+02,4.278178675983990190e-08,1.054604594458999622e-01
4.800000000000000000e+02,4.187265211343076989e-08,1.021989462370595930e-01
4.850000000000000000e+02,4.099235660991072744e-08,9.969362017026786593e-02
4.900000000000000000e+02,4.013967205734394071e-08,9.718829410347608333e-02
4.950000000000000000e+02,3.931343617928373748e-08,9.516887564197568095e-02
5.000000000000000000e+02,3.851254852504500947e-08,9.314945718047525081e-02
5.050000000000000000e+02,3.773596666876018962e-08,9.073095454664051318e-02
5.100000000000000000e+02,3.698270267436323484e-08,8.831245191280577556e-02
5.150000000000000000e+02,3.625181980564855643e-08,8.291264162141558092e-02
5.200000000000000000e+02,3.554242946236320718e-08,7.751283133002546955e-02
5.250000000000000000e+02,3.485368832492759782e-08,6.989829364422213420e-02
5.300000000000000000e+02,3.418479569186368683e-08,6.228375595841891682e-02
5.350000000000000000e+02,3.353499099535251812e-08,5.670977330622790219e-02
5.400000000000000000e+02,3.290355148156357583e-08,5.113579065403704715e-02
5.450000000000000000e+02,3.228979004350416061e-08,4.751226985653933532e-02
5.500000000000000000e+02,3.169305319514440519e-08,4.388874905904169982e-02
5.550000000000000000e+02,3.111271917648803155e-08,4.137589089887302313e-02
5.600000000000000000e+02,3.054819618009255818e-08,3.886303273870438113e-02
5.650000000000000000e+02,2.999892069030277873e-08,3.648820456879152407e-02
5.700000000000000000e+02,2.946435592715279020e-08,3.411337639887864620e-02
5.750000000000000000e+02,2.894399038752472791e-08,3.184931087343079170e-02
5.800000000000000000e+02,2.843733647673069620e-08,2.958524534798288516e-02
5.850000000000000000e+02,2.794392922421031513e-08,2.712155015388675178e-02
5.900000000000000000e+02,2.746332507752207679e-08,2.465785495979055594e-02
5.950000000000000000e+02,2.699510076924696692e-08,2.246706677688544915e-02
6.000000000000000000e+02,2.653885225182967421e-08,2.027627859398027990e-02
6.050000000000000000e+02,2.609419369575365092e-08,1.805133324343573265e-02
6.100000000000000000e+02,2.566075654678854897e-08,1.582638789289112988e-02
6.150000000000000000e+02,2.523818863836028383e-08,1.407117658278984190e-02
6.200000000000000000e+02,2.482615335538434212e-08,1.231596527268853138e-02
6.250000000000000000e+02,2.442432884616586298e-08,1.036253729130107507e-02
6.300000000000000000e+02,2.403240727921504450e-08,8.409109309913676000e-03
6.350000000000000000e+02,2.365009414205067462e-08,7.032779813166771185e-03
6.400000000000000000e+02,2.327710757927161003e-08,5.656450316419904534e-03
6.450000000000000000e+02,2.291317776736703516e-08,4.527973402429699180e-03
6.500000000000000000e+02,2.255804632391251345e-08,3.399496488439526353e-03
6.550000000000000000e+02,2.221146574896177078e-08,2.740409123800163771e-03
6.600000000000000000e+02,2.187319889659393718e-08,2.081321759160819403e-03
6.650000000000000000e+02,2.154301847471634513e-08,1.708798433936191321e-03
6.700000000000000000e+02,2.122070657135016374e-08,1.336275108711568876e-03
6.750000000000000000e+02,2.090605420574653899e-08,9.654246088764727781e-04
6.800000000000000000e+02,2.059886090279105465e-08,5.945741090413714756e-04
